,Date of sale,Address,Price,No. rooms,Living area,Plot size
1143, 4 juli 2016,Solbräcke 212, 5275000kr,7rum,"('62', '')",712m² 
1144, 4 juli 2016,Korpvägen 265, 4850000kr,5rum,"('125', '80')",3272m² 
1145, 4 juli 2016,Vallhjonsgatan 8, 6000000kr,7rum,"('110', '152')",2070m² 
1146, 1 juli 2016,Hallbjörtorp 370, 3200000kr,6rum,"('106', '44')",592m² 
1147, 28 juni 2016,Rådmansgatan 4, 3725000kr,5rum,"('117', '')",1755m² 
1148, 26 juni 2016,Ryr 590, 3000000kr,6rum,"('155', '7')",314m² 
1149, 22 juni 2016,Häljeröd 390, 2625000kr,8rum,"('130', '50')",594m² 
1150, 19 januari 2020,Grenvägen 9, 5495000kr,2rum,"('120', '84')",641m² 
1151, 18 januari 2020,Solskiftegatan 29, 4100000kr,3rum,"('127', '')",1407m² 
1152, 17 januari 2020,Hermelingatan 11, 3420000kr,6rum,"('138', '90')",400m² 
1153, 17 januari 2020,Västerhöjdsvägen 30, 2215000kr,3rum,"('67', '')",760m² 
1154, 17 januari 2020,Havregången 11, 3150000kr,3rum,"('122', '')",1458m² 
1155, 15 januari 2020,Nereby 340, 5000000kr,3rum,"('130', '')",1021m² 
1156, 10 januari 2020,Länsmansvägen 5, 5175000kr,4rum,"('148', '')",583m² 
1157, 10 januari 2020,Duvesjön 302, 5100000kr,6rum,"('114', '')",798m² 
1158, 9 januari 2020,Klövergången 6, 5875000kr,4rum,"('86', '')",1200m² 
1159, 3 januari 2020,Västerhöjdsvägen 40, 2900000kr,3rum,"('90', '')",1030m² 
1160, 27 december 2019,Dösebacka 450, 3500000kr,9rum,"('90', '')",1106m² 
1161, 27 december 2019,Duvesjön 362, 4600000kr,4rum,"('141', '29')",12135m² 
1162, 22 december 2019,Fjärdingsgatan 9, 4375000kr,6rum,"('120', '25')",1673m² 
1163, 20 december 2019,Havregången 9, 1850000kr,4rum,"('190', '75')",1160m² 
1164, 20 december 2019,Stinneröd 160, 5100000kr,3rum,"('145', '113')",2854m² 
1165, 20 december 2019,Löstorp 180, 4650000kr,4rum,"('136', '76')",1016m² 
1166, 20 december 2019,Trankärr 210, 5400000kr,4rum,"('109', '15')",608m² 
1167, 15 december 2019,Trankärr 230, 6500000kr,5rum,"('127', '14')",1272m² 
1168, 12 december 2019,Olserödsgatan 16, 6900000kr,5rum,"('106', '156')",2104m² 
1169, 11 december 2019,Lysegården 110, 4500000kr,4rum,"('170', '94')",1002m² 
1170, 9 december 2019,Vävra 433, 1000000kr,4rum,"('35', '')",1093m² 
1171, 6 december 2019,Munkholmsgatan 2, 5400000kr,5rum,"('65', '')",784m² 
1172, 3 december 2019,Staby 360, 5100000kr,6rum,"('127', '')",729m² 
1173, 30 november 2019,Beryllvägen 2, 5300000kr,5rum,"('104', '38')",478m² 
1174, 28 november 2019,Grindvakten 27, 4480000kr,6rum,"('63', '')",1054m² 
1175, 28 november 2019,Holm 440, 5375000kr,5rum,"('86', '60')",708m² 
1176, 27 november 2019,Tolleröd 280, 4550000kr,4rum,"('81', '10')",1192m² 
1177, 25 november 2019,Hasselvägen 5, 5100000kr,6rum,"('148', '')",782m² 
1178, 22 november 2019,Vetegången 15, 3600000kr,5rum,"('121', '')",3183m² 
1179, 22 november 2019,Staby 750, 6900000kr,4rum,"('70', '12')",1051m² 
1180, 21 november 2019,Solvagnsgatan 2, 2080000kr,4rum,"('169', '60')",1065m² 
1181, 20 november 2019,Aspvägen 8, 2295000kr,6rum,"('129', '')",4120m² 
1182, 20 november 2019,Rönnvägen 17, 4450000kr,6rum,"('130', '95')",435m² 
1183, 20 november 2019,Prästvägen 990, 3420000kr,3rum,"('90', '')",386m² 
1184, 16 november 2019,Fjellsholmen 61, 2450000kr,6rum,"('69', '36')",448m² 
1185, 16 november 2019,Sjöhåla 120, 3880000kr,6rum,"('63', '75')",1091m² 
1186, 13 november 2019,Bergliden 5, 2100000kr,4rum,"('94', '32')",1036m² 
1187, 13 november 2019,Snäckliden 2, 4950000kr,5rum,"('86', '')",531m² 
1188, 13 november 2019,Kantorvägen 5, 3900000kr,6rum,"('130', '')",1090m² 
1189, 6 november 2019,Vävra 470, 3100000kr,4rum,"('142', '')",570m² 
1190, 6 november 2019,Valeberg 105, 4625000kr,4rum,"('117', '40')",274m² 
1191, 1 november 2019,Ranneberg 200, 1251360kr,6rum,"('45', '40')",3489m² 
1192, 1 november 2019,Bergsvägen 15, 2900000kr,6rum,"('127', '')",1517m² 
1193, 1 november 2019,Vitsippegatan 12, 4500000kr,6rum,"('143', '')",958m² 
1194, 30 oktober 2019,Hanekullen 205, 1000000kr,2rum,"('110', '22')",950m² 
1195, 30 oktober 2019,Dotorp 250, 2720000kr,6rum,"('118', '')",560m² 
1196, 30 oktober 2019,Restad 210, 2830000kr,3rum,"('102', '71')",1375m² 
1197, 29 oktober 2019,Hövdingagatan 1, 3405000kr,5rum,"('98', '58')",445m² 
1198, 29 oktober 2019,Ängsgatan 17, 7500000kr,3rum,"('191', '20')",26600m² 
1199, 29 oktober 2019,Ranneberg 180, 3595000kr,7rum,"('129', '')",1703m² 
1200, 11 november 2020,Bastubäcksvägen 38, 14000000kr,5rum,"('136', '25')",561m² 
1201, 10 november 2020,Enskiftegatan 14, 4170000kr,7rum,"('121', '')",825m² 
1202, 9 november 2020,Häljeröd 420, 2800000kr,5rum,"('149', '')",345m² 
1203, 4 november 2020,Strömgatan 3, 4700000kr,4rum,"('168', '57')",510m² 
1204, 4 november 2020,Grindslanten 14, 5275000kr,5rum,"('81', '')",1143m² 
1205, 29 oktober 2020,Skogen 148, 4060000kr,5rum,"('154', '')",179m² 
1206, 26 oktober 2020,Norrmannebo 200, 3905000kr,4rum,"('112', '112')",1267m² 
1207, 26 oktober 2020,Vråstigen 2, 5000000kr,5rum,"('117', '')",976m² 
1208, 23 oktober 2020,Skårby 590, 4195000kr,4rum,"('123', '')",401m² 
1209, 23 oktober 2020,Blåsippegatan 14, 8600000kr,5rum,"('148', '')",748m² 
1210, 22 oktober 2020,Granndalen 19, 3995000kr,4rum,"('118', '')",1535m² 
