,Date of sale,Address,Price,No. rooms,Living area,Plot size
1565, 26 januari 2023,Lundby 340, 3900000kr,4rum,"('86', '')",1676m² 
1566, 19 januari 2023,Teggatan 8, 6100000kr,5rum,"('114', '')",2216m² 
1567, 18 januari 2023,Skårsäng 39, 3850000kr,3rum,"('115', '115')",768m² 
1568, 17 januari 2023,Restad 380, 4380000kr,3rum,"('132', '')",1111m² 
1569, 12 januari 2023,Dösebacka 620, 4750000kr,5rum,"('121', '75')",402m² 
1570, 4 januari 2023,Solhultsgatan 21, 3400000kr,8rum,"('137', '20')",26210m² 
1571, 27 december 2022,Mycklaborgsgatan 10, 7125000kr,5rum,"('125', '120')",1844m² 
1572, 21 december 2022,Trollhättevägen 16, 5605000kr,5rum,"('115', '')",314m² 
1573, 15 december 2022,Jägersberg 242, 4490000kr,5rum,"('129', '90')",319m² 
1574, 13 december 2022,Åkerhög 180, 4125000kr,2rum,"('179', '')",1514m² 
1575, 2 december 2022,Duvesjön 213, 4700000kr,6rum,"('86', '')",429m² 
1576, 2 december 2022,Lundby 250, 5050000kr,5rum,"('120', '')",557m² 
1577, 2 december 2022,Briljantvägen 22, 5500000kr,5rum,"('184', '28')",1257m² 
1578, 2 december 2022,Täljstensgatan 5, 3600000kr,3rum,"('86', '')",1368m² 
1579, 1 december 2022,Hövdingagatan 7, 4300000kr,2rum,"('122', '')",1572m² 
1580, 29 november 2022,Lundby 460, 2900000kr,5rum,"('105', '')",715m² 
1581, 24 november 2022,Skäggstorp 120, 2750000kr,5rum,"('172', '')",543m² 
1582, 24 november 2022,Bergkristallvägen 23, 4800000kr,4rum,"('117', '')",1085m² 
1583, 18 november 2022,Risby 530, 4050000kr,5rum,"('125', '')",909m² 
1584, 17 november 2022,Nordängen 10, 4515000kr,3rum,"('143', '')",1060m² 
1585, 13 november 2022,Lefstadvägen 31, 2400000kr,8rum,"('210', '170')",464m² 
1586, 12 november 2022,Diamantvägen 54, 3850000kr,3rum,"('117', '40')",2086m² 
1587, 11 november 2022,Råckeröd 170, 4500000kr,8rum,"('102', '102')",925m² 
1588, 10 november 2022,Gustavsbergsvägen 17, 3995000kr,4rum,"('80', '25')",1321m² 
1589, 6 november 2022,Hammarhöjden 650, 4050000kr,7rum,"('123', '22')",414m² 
1590, 3 november 2022,Vävra 540, 5500000kr,6rum,"('85', '6')",2854m² 
1591, 31 oktober 2022,Väg 18, 4400000kr,3rum,"('107', '')",1006m² 
1592, 26 oktober 2022,Kristinedalsgatan 6, 4550000kr,6rum,"('95', '61')",350m² 
1593, 21 oktober 2022,Illekärr 170, 4000000kr,5rum,"('130', '')",2171m² 
1594, 19 oktober 2022,Lagvägen 53, 4400000kr,4rum,"('155', '62')",478m² 
1595, 16 oktober 2022,Snäckvägen 9, 5495000kr,5rum,"('148', '')",3702m² 
1596, 12 oktober 2022,Matskärsvägen 102, 5050000kr,4rum,"('140', '')",1525m² 
1597, 12 oktober 2022,Station 150, 4350000kr,8rum,"('103', '')",761m² 
1598, 3 oktober 2022,Solberga 510, 5900000kr,6rum,"('35', '')",3125m² 
1599, 30 september 2022,Löstorp 130, 3700000kr,4rum,"('124', '124')",1797m² 
1600, 10 februari 2021,Torsby 130, 5475000kr,6rum,"('123', '')",1498m² 
1601, 9 februari 2021,Åsleröd 110, 7600000kr,4rum,"('170', '')",899m² 
1602, 8 februari 2021,Tingsvägen 3, 5120000kr,4rum,"('70', '12')",672m² 
1603, 5 februari 2021,Bremnäs 390, 3100000kr,5rum,"('75', '')",1456m² 
1604, 4 februari 2021,Ulvesund 412, 7900000kr,5rum,"('30', '')",801m² 
1605, 3 februari 2021,Lundby 340, 5935000kr,5rum,"('165', '14')",751m² 
1606, 3 februari 2021,Rådalsvägen 7, 3895000kr,6rum,"('143', '108')",1521m² 
1607, 31 januari 2021,Västerhöjdsvägen 26, 4575000kr,5rum,"('98', '')",1163m² 
1608, 29 januari 2021,Parken 110, 4500000kr,7rum,"('95', '88')",791m² 
1609, 28 januari 2021,Kämpegatan 7, 5275000kr,6rum,"('121', '77')",1554m² 
1610, 28 januari 2021,Skäggstorp 160, 6770000kr,7rum,"('134', '110')",561m² 
1611, 28 januari 2021,Grokareby 110, 4030000kr,6rum,"('90', '')",258m² 
1612, 27 januari 2021,Fågelstigen 44, 6650000kr,6rum,"('175', '')",289m² 
1613, 27 januari 2021,Heden 190, 8700000kr,7rum,"('162', '')",1950m² 
1614, 26 januari 2021,Mantalsgatan 9, 2700000kr,7rum,"('139', '20')",2864m² 
1615, 24 januari 2021,Granndalen 5, 5350000kr,4rum,"('54', '')",1447m² 
1616, 23 januari 2021,Lundby 390, 3650000kr,5rum,"('126', '')",851m² 
1617, 22 januari 2021,Vältvägen 509, 5100000kr,2rum,"('48', '')",630m² 
1618, 21 januari 2021,Topasvägen 11, 3600000kr,5rum,"('145', '55')",1106m² 
1619, 19 januari 2021,Gunneröd 170, 2950000kr,5rum,"('137', '')",1571m² 
1620, 18 januari 2021,Häljeröd 550, 1600000kr,5rum,"('107', '')",532m² 
1621, 13 januari 2021,Duvesjön 312, 4625000kr,3rum,"('115', '')",1342m² 
1622, 12 januari 2021,Lagvägen 31, 4525000kr,4rum,"('120', '')",936m² 
1623, 11 januari 2021,Helgonagatan 192, 3825000kr,4rum,"('214', '')",632m² 
1624, 7 januari 2021,Högalidsgatan 5, 3700000kr,6rum,"('139', '39')",1340m² 
1625, 23 december 2020,Solhultsgatan 17, 2500000kr,6rum,"('70', '15')",972m² 
1626, 21 december 2020,Gunneröd 270, 6060000kr,3rum,"('137', '')",361m² 
1627, 18 december 2020,Lönnvägen 3, 3800000kr,6rum,"('75', '')",738m² 
1628, 16 december 2020,Ulvesund 410, 6150000kr,5rum,"('60', '')",1010m² 
1629, 12 december 2020,Ulvebackegatan 12, 5325000kr,5rum,"('155', '')",1032m² 
1630, 9 december 2020,Gårdskiftegatan 16, 5475000kr,6rum,"('140', '')",555m² 
1631, 8 december 2020,Fridhemsgatan 9, 1750000kr,5rum,"('98', '92')",17790m² 
1632, 4 december 2020,Bärnstensvägen 6, 4495000kr,7rum,"('163', '')",831m² 
1633, 2 december 2020,Prejelvägen 110, 2060000kr,9rum,"('114', '5')",371m² 
1634, 2 december 2020,Ulvesund 464, 3975000kr,4rum,"('115', '166')",2531m² 
1635, 1 december 2020,Hällristningsgatan 15, 4450000kr,5rum,"('130', '')",1650m² 
1636, 1 december 2020,Väktaregatan 5, 4425000kr,5rum,"('134', '40')",1548m² 
1637, 30 november 2020,Solskiftegatan 9, 3400000kr,4rum,"('156', '')",2219m² 
1638, 30 november 2020,Väg 16, 5600000kr,6rum,"('106', '106')",972m² 
1639, 30 november 2020,Stenstavägen 1, 4950000kr,6rum,"('152', '72')",654m² 
1640, 29 november 2020,Instölid 82, 5500000kr,4rum,"('190', '50')",1376m² 
1641, 28 november 2020,Rönnvägen 7, 4160000kr,7rum,"('177', '')",732m² 
1642, 24 november 2020,Valler 300, 4800000kr,5rum,"('75', '30')",742m² 
1643, 24 november 2020,Svartedalen 220, 2575000kr,4rum,"('129', '')",986m² 
1644, 23 november 2020,Fontinvägen 42, 2300000kr,4rum,"('47', '')",473m² 
1645, 22 november 2020,Bokvägen 10, 5100000kr,5rum,"('77', '46')",708m² 
1646, 20 november 2020,Hermansby 150, 5525000kr,4rum,"('132', '')",784m² 
1647, 19 november 2020,Duvesjön 348, 4135000kr,5rum,"('133', '55')",976m² 
1648, 18 november 2020,Granndalen 12, 5850000kr,5rum,"('60', '36')",882m² 
1649, 13 november 2020,Åsgatan 5, 7000000kr,6rum,"('92', '')",1648m² 
1650, 25 oktober 2019,Hemmansgatan 3, 4060000kr,7rum,"('135', '65')",759m² 
1651, 25 oktober 2019,Jakobsvägen 27, 4350000kr,4rum,"('103', '95')",473m² 
1652, 25 oktober 2019,Olserödsgatan 114, 5250000kr,4rum,"('189', '23')",3583m² 
1653, 24 oktober 2019,Slånbärsvägen 15, 5750000kr,3rum,"('127', '')",1498m² 
1654, 23 oktober 2019,Rosenstensvägen 33, 3825000kr,4rum,"('147', '')",560m² 
1655, 23 oktober 2019,Stinneröd 260, 4795000kr,6rum,"('177', '21')",1110m² 
1656, 21 oktober 2019,Onyxvägen 22, 6000000kr,6rum,"('114', '')",524m² 
1657, 19 oktober 2019,Hällristningsgatan 26, 4695000kr,6rum,"('140', '15')",1864m² 
1658, 18 oktober 2019,Duvesjön 371, 2695000kr,3rum,"('91', '76')",1057m² 
1659, 17 oktober 2019,Mjölnarvägen 16, 4535000kr,3rum,"('173', '127')",909m² 
1660, 16 oktober 2019,Lerskärsvägen 63, 2115000kr,4rum,"('190', '76')",1873m² 
1661, 11 oktober 2019,Briljantvägen 36, 3760000kr,5rum,"('80', '30')",575m² 
1662, 11 oktober 2019,Jägarvägen 6, 4010000kr,6rum,"('121', '')",356m² 
1663, 4 oktober 2019,Plogvägen 174, 4650000kr,4rum,"('142', '')",655m² 
1664, 2 oktober 2019,Brunnefjällsvägen 3, 3700000kr,3rum,"('120', '')",1825m² 
1665, 1 oktober 2019,Toreby 380, 3395000kr,6rum,"('151', '')",1058m² 
1666, 28 september 2019,Hemvägen 25, 5700000kr,3rum,"('150', '')",1756m² 
1667, 27 september 2019,Solskiftegatan 14, 3750000kr,4rum,"('104', '19')",504m² 
1668, 26 september 2019,Väg 2, 4800000kr,6rum,"('132', '48')",925m² 
1669, 26 september 2019,Almvägen 3, 3850000kr,5rum,"('140', '38')",1331m² 
1670, 25 september 2019,Solvagnsgatan 3, 1000000kr,5rum,"('85', '')",881m² 
1671, 25 september 2019,Mosse 880, 1000000kr,5rum,"('51', '43')",560m² 
1672, 25 september 2019,Ugglehed 180, 1000000kr,4rum,"('130', '')",2388m² 
1673, 25 september 2019,Vena 318, 1000000kr,6rum,"('62', '53')",1360m² 
1674, 25 september 2019,Duvesjön 225, 4100000kr,2rum,"('174', '18')",1157m² 
1675, 23 september 2019,Duvesjön 201, 5900000kr,4rum,"('130', '')",1863m² 
1676, 19 september 2019,Munkholmsgatan 2, 4400000kr,5rum,"('155', '')",1530m² 
1677, 18 september 2019,Björkstigen 9, 5025000kr,4rum,"('210', '85')",802m² 
1678, 16 september 2019,Settungsvägen 62, 3295000kr,8rum,"('111', '')",6070m² 
1679, 15 september 2019,Situlagatan 2, 4900000kr,4rum,"('68', '')",779m² 
1680, 13 september 2019,Äslingsvägen 8, 5756725kr,4rum,"('53', '')",1562m² 
1681, 12 september 2019,Kärrhed 190, 3300000kr,4rum,"('70', '')",1433m² 
1682, 11 september 2019,Olvonvägen 71, 4200000kr,6rum,"('177', '67')",3446m² 
1683, 6 september 2019,Rättarevägen 16, 3650000kr,3rum,"('152', '80')",1517m² 
1684, 5 september 2019,Ametistvägen 11, 4000000kr,4rum,"('157', '51')",4580m² 
1685, 5 september 2019,Väg 10, 4575000kr,5rum,"('76', '')",2538m² 
1686, 3 september 2019,Gunneröd 506, 4210000kr,4rum,"('71', '')",975m² 
1687, 3 september 2019,Oxelvägen 96, 4510000kr,5rum,"('97', '50')",723m² 
1688, 1 september 2019,Solberg 420, 4275000kr,4rum,"('98', '58')",2770m² 
1689, 31 augusti 2019,Kovikshamn 160, 3790000kr,8rum,"('171', '7')",806m² 
1690, 31 augusti 2019,Ljungvägen 20, 3325000kr,4rum,"('95', '')",1648m² 
1691, 29 augusti 2019,Rubinvägen 27, 2240000kr,6rum,"('57', '57')",1500m² 
1692, 28 augusti 2019,Ulvesund 419, 4500000kr,5rum,"('143', '')",250m² 
1693, 28 augusti 2019,Erslycke 140, 3000000kr,5rum,"('98', '')",4160m² 
1694, 25 augusti 2019,Önneröd 145, 5000000kr,5rum,"('106', '')",1377m² 
1695, 24 augusti 2019,Hallebäcksvägen 24, 4150000kr,6rum,"('147', '')",899m² 
1696, 24 augusti 2019,Bergkristallvägen 8, 3820000kr,4rum,"('60', '31')",1257m² 
1697, 23 augusti 2019,Hammarhöjden 670, 4550000kr,5rum,"('103', '')",2367m² 
1698, 23 augusti 2019,Sålådevägen 554, 4330000kr,2rum,"('157', '100')",377m² 
1699, 22 augusti 2019,Hjälmgatan 7, 2650000kr,5rum,"('70', '')",2064m² 
1700, 16 juni 2014,Strömgatan 9, 2210000kr,6rum,"('121', '103')",1105m² 
1701, 15 juni 2014,Krappvägen 570, 2650000kr,6rum,"('28', '')",1330m² 
1702, 11 juni 2014,Norrmannebo 650, 4250000kr,5rum,"('120', '80')",5123m² 
1703, 31 maj 2014,Ängsgatan  23, 2720000kr,4rum,"('128', '')",319m² 
1704, 27 maj 2014,Stenåldersgatan 14, 2950000kr,5rum,"('74', '45')",1012m² 
1705, 27 maj 2014,Spaghamnsvägen 7, 2100000kr,3rum,"('175', '35')",742m² 
1706, 22 maj 2014,Östergårdsgatan 3, 4550000kr,7rum,"('91', '')",2301m² 
1707, 22 maj 2014,Toreby 240, 2020000kr,7rum,"('180', '115')",3880m² 
1708, 20 maj 2014,Murhammarvägen 12, 2215000kr,3rum,"('105', '10')",1652m² 
1709, 17 maj 2014,Kämpegatan 4, 4200000kr,4rum,"('90', '')",1330m² 
1710, 14 maj 2014,Vesslegatan 14, 2360000kr,5rum,"('103', '95')",191m² 
1711, 10 maj 2014,Bastubäcksvägen 26, 1470000kr,6rum,"('98', '')",805m² 
1712, 8 maj 2014,Karantänsgatan 9, 2570000kr,4rum,"('135', '35')",481m² 
1713, 2 maj 2014,Vävra 297, 2850000kr,2rum,"('119', '')",2646m² 
1714, 30 april 2014,Lerskärsvägen 8, 2800000kr,6rum,"('89', '76')",635m² 
1715, 29 april 2014,Brunnefjällsvägen 21, 3200000kr,6rum,"('93', '21')",795m² 
1716, 29 april 2014,Klockarvägen 7, 2500000kr,5rum,"('109', '109')",914m² 
1717, 26 april 2014,Sålådevägen 546, 2900000kr,7rum,"('189', '15')",139m² 
1718, 22 april 2014,Trädal 320, 3950000kr,5rum,"('57', '45')",850m² 
1719, 18 april 2014,Lundby 565, 4900000kr,4rum,"('148', '')",1009m² 
1720, 16 april 2014,Kuskalundsvägen 39, 3125000kr,4rum,"('77', '25')",320m² 
1721, 15 april 2014,Häradsvägen 6, 600000kr,5rum,"('140', '38')",743m² 
1722, 12 april 2014,Kuskalundsvägen 32, 2400000kr,3rum,"('114', '')",430m² 
1723, 6 april 2014,Munkegärdegatan 243, 3275000kr,4rum,"('137', '90')",566m² 
1724, 26 mars 2014,Backsippegatan 5, 2482000kr,5rum,"('93', '92')",958m² 
1725, 26 mars 2014,Risby 550, 3850000kr,3rum,"('122', '5')",37080m² 
1726, 25 mars 2014,Östergårdsgatan 23, 2095000kr,5rum,"('63', '')",1590m² 
1727, 21 mars 2014,Hermansby 165, 2595000kr,6rum,"('107', '5')",800m² 
1728, 20 mars 2014,Lefstad 155, 3160000kr,5rum,"('142', '70')",902m² 
1729, 18 mars 2014,Kullegatan 12, 3825000kr,4rum,"('140', '58')",796m² 
1730, 13 mars 2014,Bräcke 105, 2375000kr,7rum,"('80', '100')",2497m² 
1731, 12 mars 2014,Kristinedalsgatan 15, 2350000kr,5rum,"('67', '50')",1774m² 
1732, 11 mars 2014,Sköldgatan 6, 2530000kr,6rum,"('125', '32')",440m² 
1733, 10 mars 2014,Almvägen 19, 3100000kr,4rum,"('36', '10')",635m² 
1734, 7 mars 2014,Solvagnsgatan 10, 2175000kr,5rum,"('122', '82')",2397m² 
1735, 5 mars 2014,Ryr 135, 2900000kr,4rum,"('185', '52')",1927m² 
1736, 4 mars 2014,Tröskvägen 272, 2820000kr,4rum,"('30', '')",1217m² 
1737, 27 februari 2014,Apelvägen 13, 2900000kr,5rum,"('118', '7')",948m² 
1738, 20 februari 2014,Prästvägen 715, 1850000kr,4rum,"('125', '27')",859m² 
1739, 13 februari 2014,Kovikshamn 200, 3100000kr,3rum,"('123', '97')",2050m² 
1740, 8 februari 2014,Hallebäcksvägen 2, 2230000kr,2rum,"('160', '26')",712m² 
1741, 3 februari 2014,Flateby 590, 3625000kr,7rum,"('65', '')",647m² 
1742, 21 januari 2014,Fågelstigen 36, 2083000kr,7rum,"('120', '60')",620m² 
1743, 21 januari 2014,Skutviksvägen 6, 3525000kr,6rum,"('158', '')",1734m² 
1744, 17 januari 2014,Munkegärdegatan 320, 2275000kr,6rum,"('140', '')",566m² 
1745, 15 januari 2014,Ödsmål 595, 3230000kr,6rum,"('144', '132')",404m² 
1746, 23 december 2013,Akvamarinvägen 9, 1750000kr,4rum,"('145', '31')",1808m² 
1747, 16 december 2013,Vävra 760, 3300000kr,6rum,"('112', '')",831m² 
1748, 12 december 2013,Norrmannebo 800, 4850000kr,6rum,"('65', '65')",884m² 
1749, 6 december 2013,Onyxvägen 4, 2850000kr,4rum,"('123', '')",462m² 
1750, 21 juni 2016,Kulperödsvägen 17, 9000000kr,3rum,"('75', '')",564m² 
1751, 19 juni 2016,Rishammarvägen 33, 3250000kr,4rum,"('121', '47')",308m² 
1752, 14 juni 2016,Duvesjön 346, 3850000kr,6rum,"('110', '10')",1067m² 
1753, 14 juni 2016,Tvetgatan 49, 2320000kr,5rum,"('150', '')",2591m² 
1754, 10 juni 2016,Vitsippegatan 8, 3300000kr,3rum,"('159', '16')",381m² 
1755, 8 juni 2016,Hemvägen 41, 3450000kr,4rum,"('122', '')",1091m² 
1756, 6 juni 2016,Fregattgatan 5, 685000kr,7rum,"('94', '16')",1608m² 
1757, 4 juni 2016,Munkholmsgatan 7, 5100000kr,2rum,"('157', '99')",727m² 
1758, 3 juni 2016,Ryr 200, 4400000kr,6rum,"('138', '19')",360m² 
1759, 2 juni 2016,Stenåldersgatan 6, 4070000kr,2rum,"('171', '25')",1782m² 
1760, 1 juni 2016,Gullbringa 110, 5200000kr,5rum,"('90', '')",15352m² 
1761, 31 maj 2016,Bärnstensvägen 1, 2050000kr,4rum,"('130', '')",9024m² 
1762, 31 maj 2016,Tvetgatan 123, 5565000kr,7rum,"('140', '')",1800m² 
1763, 31 maj 2016,Restad 270, 3855000kr,4rum,"('3', '40')",1390m² 
1764, 31 maj 2016,Alekärr 125, 4850000kr,4rum,"('106', '64')",893m² 
1765, 30 maj 2016,Hällristningsgatan 12, 5325000kr,6rum,"('112', '')",937m² 
1766, 27 maj 2016,Tegskiftegatan 28, 5100000kr,3rum,"('65', '')",372m² 
1767, 26 maj 2016,Grandalen 190, 3400000kr,5rum,"('38', '9')",787m² 
1768, 26 maj 2016,Stenhålt 352, 1300000kr,8rum,"('137', '73')",1380m² 
1769, 26 maj 2016,Vävra 120, 3210000kr,6rum,"('185', '46')",1316m² 
1770, 26 maj 2016,Trankärrsliden 21, 2995000kr,5rum,"('140', '26')",2056m² 
1771, 23 maj 2016,Rubinvägen 19, 3600000kr,5rum,"('150', '20')",732m² 
1772, 23 maj 2016,Åsebyberg 853, 2385000kr,5rum,"('183', '')",806m² 
1773, 21 maj 2016,Lundby 475, 3875000kr,7rum,"('122', '')",1462m² 
1774, 21 maj 2016,Bergkristallvägen 20, 4100000kr,5rum,"('115', '115')",1317m² 
1775, 17 maj 2016,Rosenstensvägen 43, 3625000kr,5rum,"('105', '122')",1215m² 
1776, 16 maj 2016,Åsebyberg 685, 4175000kr,6rum,"('107', '')",390m² 
1777, 15 maj 2016,Gårdskiftegatan 17, 2695000kr,5rum,"('88', '')",2968m² 
1778, 14 maj 2016,Tröskvägen 260, 2902500kr,5rum,"('62', '')",1400m² 
1779, 13 maj 2016,Gulskärsvägen 21, 3250000kr,4rum,"('138', '')",980m² 
1780, 12 maj 2016,Mårdgatan 4, 3900000kr,6rum,"('139', '')",304m² 
1781, 12 maj 2016,Fjellsholmen 22, 3400000kr,5rum,"('90', '65')",991m² 
1782, 11 maj 2016,Lindvägen 8, 3300000kr,4rum,"('124', '8')",688m² 
1783, 9 maj 2016,Stenåldersgatan 41, 4300000kr,3rum,"('130', '152')",1820m² 
1784, 9 maj 2016,Harkvägen 335, 2900000kr,6rum,"('34', '')",1030m² 
1785, 6 maj 2016,Prästvägen 296, 2730000kr,5rum,"('195', '')",742m² 
1786, 1 maj 2016,Duvesjön 228, 4100000kr,6rum,"('65', '')",1337m² 
1787, 1 maj 2016,Kuskalundsvägen 11, 1950000kr,3rum,"('162', '24')",518m² 
1788, 29 april 2016,Ulvesund 412, 1300000kr,3rum,"('110', '')",1090m² 
1789, 28 april 2016,Mantalsgatan 15, 4900000kr,7rum,"('146', '')",800m² 
1790, 28 april 2016,Klintegatan 7, 3700000kr,5rum,"('105', '')",463m² 
1791, 25 april 2016,Duvesjön 205, 4450000kr,3rum,"('127', '8')",890m² 
1792, 24 april 2016,Nygatan 6, 4500000kr,6rum,"('100', '47')",788m² 
1793, 22 april 2016,Prästvägen 170, 5650000kr,5rum,"('173', '')",20500m² 
1794, 21 april 2016,Hammarberg 825, 2850000kr,3rum,"('96', '')",743m² 
1795, 14 april 2016,Duvesjön 420, 4725000kr,6rum,"('127', '')",452m² 
1796, 14 april 2016,Rönnvägen 11, 4300000kr,6rum,"('230', '25')",1664m² 
1797, 12 april 2016,Häljeröd 106, 2850000kr,4rum,"('143', '50')",1020m² 
1798, 9 april 2016,Grandalen 110, 2995000kr,6rum,"('91', '87')",1196m² 
1799, 8 april 2016,Kroken 142, 2600000kr,7rum,"('107', '')",1245m² 
1800, 18 juni 2023,Ekvägen 2, 4930000kr,6rum,"('110', '')",700m² 
1801, 18 juni 2023,Råckeröd 140, 4200000kr,6rum,"('215', '62')",1160m² 
1802, 16 juni 2023,Nätstigen 7, 2350000kr,3rum,"('139', '')",349m² 
1803, 15 juni 2023,Hallbjörtorp 492, 4300000kr,5rum,"('89', '89')",1199m² 
1804, 14 juni 2023,Dösebacka 130, 6350000kr,5rum,"('174', '17')",659m² 
1805, 14 juni 2023,Tvetgatan 263, 2370000kr,8rum,"('128', '43')",1587m² 
1806, 14 juni 2023,Olserödsgatan 86, 3500000kr,7rum,"('159', '17')",1458m² 
1807, 8 juni 2023,Tjuvkil 450, 3000000kr,6rum,"('44', '36')",1741m² 
1808, 8 juni 2023,Rondan 19, 5700000kr,4rum,"('130', '')",706m² 
1809, 3 juni 2023,Åsebyberg 960, 4675000kr,3rum,"('161', '55')",804m² 
1810, 2 juni 2023,Ulvegärdegatan 15, 6495000kr,6rum,"('84', '50')",8185m² 
1811, 1 juni 2023,Solhultsgatan 27, 5250000kr,4rum,"('82', '13')",1935m² 
1812, 1 juni 2023,Flateby 480, 4795000kr,3rum,"('162', '')",1745m² 
1813, 1 juni 2023,Björkebacka 114, 3200000kr,4rum,"('145', '19')",468m² 
1814, 1 juni 2023,Älvängen 130, 8600000kr,3rum,"('130', '50')",1951m² 
1815, 31 maj 2023,Tegskiftegatan 46, 4000000kr,7rum,"('101', '')",1494m² 
1816, 31 maj 2023,Skardet 120, 6295000kr,3rum,"('70', '13')",817m² 
1817, 25 maj 2023,Granliden 11, 9500000kr,5rum,"('137', '')",598m² 
1818, 19 maj 2023,Önneröd 220, 5800000kr,5rum,"('137', '')",1640m² 
1819, 18 maj 2023,Duvesjön 232, 4625000kr,7rum,"('79', '')",600m² 
1820, 18 maj 2023,Madängsgatan 13, 5050000kr,6rum,"('133', '')",840m² 
1821, 17 maj 2023,Bokvägen 12, 5000000kr,6rum,"('115', '')",2005m² 
1822, 17 maj 2023,Tullaregatan 3, 4860000kr,6rum,"('100', '86')",1545m² 
1823, 16 maj 2023,Gårdskiftegatan 41, 2625000kr,4rum,"('155', '32')",660m² 
1824, 15 maj 2023,Kuskalundsvägen 36, 3405000kr,6rum,"('180', '48')",1906m² 
1825, 12 maj 2023,Vävra 170, 5200000kr,7rum,"('134', '')",1191m² 
1826, 8 maj 2023,Stinneröd 160, 5000000kr,7rum,"('145', '')",402m² 
1827, 7 maj 2023,Grokareby 150, 5550000kr,5rum,"('190', '163')",801m² 
1828, 4 maj 2023,Duvesjön 370, 1775000kr,4rum,"('204', '')",405m² 
1829, 2 maj 2023,Alekärr 153, 4500000kr,2rum,"('145', '80')",1551m² 
1830, 30 april 2023,Munkegärdegatan 353, 5300000kr,4rum,"('96', '8')",678m² 
1831, 29 april 2023,Staby 490, 4500000kr,5rum,"('140', '')",449m² 
1832, 26 april 2023,Skeppsholmsgatan 3, 3500000kr,7rum,"('139', '12')",1025m² 
1833, 26 april 2023,Flateby 500, 4050000kr,5rum,"('194', '')",1361m² 
1834, 25 april 2023,Stenåldersgatan 4, 6700000kr,5rum,"('148', '10')",1007m² 
1835, 21 april 2023,Ulvesund 419, 7495000kr,3rum,"('106', '4')",1029m² 
1836, 20 april 2023,Trädal 360, 4390000kr,5rum,"('122', '122')",3853m² 
1837, 18 april 2023,Dösebacka 640, 2600000kr,7rum,"('90', '85')",177m² 
1838, 18 april 2023,Österväg 28, 4250000kr,3rum,"('120', '127')",1506m² 
1839, 18 april 2023,Plogvägen 188, 4300000kr,6rum,"('73', '7')",675m² 
1840, 15 april 2023,Ringby 164, 3050000kr,7rum,"('114', '65')",12760m² 
1841, 15 april 2023,Jorsalagatan 5, 5150000kr,5rum,"('113', '5')",931m² 
1842, 14 april 2023,Egnahemsgatan 10, 4200000kr,6rum,"('90', '')",745m² 
1843, 10 april 2023,Källeröd 220, 3850000kr,5rum,"('148', '36')",1792m² 
1844, 3 april 2023,Bokstigen 4, 5250000kr,5rum,"('78', '')",2964m² 
1845, 30 mars 2023,Hällristningsgatan 8, 5225000kr,5rum,"('84', '9')",669m² 
1846, 27 mars 2023,, 4900000kr,3rum,"('107', '')",2141m² 
1847, 24 mars 2023,, 5700000kr,6rum,"('174', '')",1003m² 
1848, 24 mars 2023,, 6600000kr,6rum,"('150', '10')",900m² 
1849, 23 mars 2023,, 5295000kr,6rum,"('155', '')",156m² 
1850, 9 april 2015,, 4300000kr,5rum,"('133', '119')",579m² 
1851, 31 mars 2015,, 3020000kr,4rum,"('112', '')",924m² 
1852, 30 mars 2015,, 3110000kr,7rum,"('145', '7')",506m² 
1853, 27 mars 2015,, 4140000kr,5rum,"('110', '')",796m² 
1854, 26 mars 2015,, 3750000kr,4rum,"('181', '')",1406m² 
1855, 25 mars 2015,, 4870000kr,6rum,"('141', '')",318m² 
1856, 25 mars 2015,, 2850000kr,5rum,"('126', '65')",2068m² 
1857, 24 mars 2015,, 3400000kr,3rum,"('95', '')",1070m² 
1858, 24 mars 2015,, 3500000kr,4rum,"('60', '60')",300m² 
1859, 24 mars 2015,, 5100000kr,4rum,"('104', '')",1233m² 
1860, 23 mars 2015,, 1500000kr,5rum,"('180', '')",1950m² 
1861, 20 mars 2015,, 1995000kr,4rum,"('177', '170')",560m² 
1862, 20 mars 2015,, 2980000kr,4rum,"('109', '')",832m² 
1863, 19 mars 2015,, 3350000kr,7rum,"('160', '14')",1378m² 
1864, 19 mars 2015,, 4400000kr,5rum,"('120', '')",1630m² 
1865, 19 mars 2015,, 5000000kr,5rum,"('107', '')",3352m² 
1866, 18 mars 2015,, 1350000kr,6rum,"('134', '134')",1216m² 
1867, 18 mars 2015,, 2700000kr,8rum,"('105', '60')",937m² 
1868, 14 mars 2015,, 5800000kr,8rum,"('151', '')",1462m² 
1869, 11 mars 2015,, 2600000kr,6rum,"('121', '25')",2024m² 
1870, 6 mars 2015,, 3600000kr,2rum,"('110', '75')",572m² 
1871, 5 mars 2015,, 4200000kr,7rum,"('195', '')",188m² 
1872, 5 mars 2015,, 3430000kr,3rum,"('137', '')",1374m² 
1873, 3 mars 2015,, 3250000kr,4rum,"('141', '40')",1147m² 
1874, 27 februari 2015,, 2100000kr,3rum,"('127', '')",410m² 
1875, 27 februari 2015,, 3595000kr,6rum,"('135', '')",1512m² 
1876, 26 februari 2015,, 3610000kr,4rum,"('115', '')",1122m² 
1877, 26 februari 2015,, 4300000kr,6rum,"('163', '35')",406m² 
